GEO_ID,BachDegrees,TotalPop,CountyName,NormBach
17031020702,1052.00,5609.00, Cook County,18.7555714
17031020801,1073.00,4865.00, Cook County,22.05549846
17031020802,1500.00,6153.00, Cook County,24.37835202
17031020901,1080.00,4605.00, Cook County,23.45276873
17031020902,499.00,3544.00, Cook County,14.08013544
17031030101,918.00,3134.00, Cook County,29.29164008
17031030102,909.00,2948.00, Cook County,30.83446404
17031030103,536.00,2384.00, Cook County,22.48322148
17031030104,462.00,3241.00, Cook County,14.25485961
17031030200,1863.00,5217.00, Cook County,35.71017826
17031030300,834.00,3038.00, Cook County,27.45227123
17031030400,694.00,2224.00, Cook County,31.20503597
17031030500,2378.00,5916.00, Cook County,40.19607843
17031030601,692.00,3280.00, Cook County,21.09756098
17031030603,533.00,2049.00, Cook County,26.01268912
17031030604,1013.00,2973.00, Cook County,34.07332661
17031030701,417.00,1391.00, Cook County,29.97843278
17031030702,781.00,2131.00, Cook County,36.64946035
17031030703,936.00,2896.00, Cook County,32.32044199
17031030706,849.00,2641.00, Cook County,32.14691405
17031030800,1220.00,3920.00, Cook County,31.12244898
17031030900,960.00,2710.00, Cook County,35.42435424
17031031000,1293.00,3406.00, Cook County,37.96241926
17031031100,1973.00,4177.00, Cook County,47.23485755
17031031200,1126.00,5034.00, Cook County,22.36789829
17031031300,2067.00,6894.00, Cook County,29.98259356
17031031400,2260.00,4602.00, Cook County,49.10908301
17031031501,1107.00,3801.00, Cook County,29.12391476
17031031502,1033.00,3815.00, Cook County,27.07732634
17031031700,2509.00,6142.00, Cook County,40.84988603
17031031800,746.00,1726.00, Cook County,43.22132097
17031031900,1128.00,2161.00, Cook County,52.19805646
17031032100,2381.00,6646.00, Cook County,35.82606079
17031040100,1116.00,3317.00, Cook County,33.64485981
17031040201,2423.00,5824.00, Cook County,41.60370879
17031040202,1778.00,5632.00, Cook County,31.56960227
17031040300,600.00,2282.00, Cook County,26.29272568
17031040401,1084.00,2848.00, Cook County,38.06179775
17031040402,2201.00,3956.00, Cook County,55.63700708
17031040600,994.00,2230.00, Cook County,44.57399103
17031040700,1188.00,2707.00, Cook County,43.88622091
17031040800,554.00,1413.00, Cook County,39.20736023
17031040900,728.00,1607.00, Cook County,45.3018046
17031050100,1098.00,2259.00, Cook County,48.60557769
17031050200,1668.00,4076.00, Cook County,40.92247301
17031050300,774.00,1902.00, Cook County,40.69400631
17031050500,1651.00,3927.00, Cook County,42.04227145
17031050600,1019.00,1809.00, Cook County,56.32946379
17031050700,588.00,1171.00, Cook County,50.21349274
17031050800,409.00,987.00, Cook County,41.43870314
17031050900,464.00,1153.00, Cook County,40.24284475
17031051000,602.00,1299.00, Cook County,46.34334103
17031051100,535.00,1251.00, Cook County,42.76578737
17031051200,676.00,1263.00, Cook County,53.52335709
17031051300,982.00,2041.00, Cook County,48.11366977
17031051400,678.00,1607.00, Cook County,42.19041693
